Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1GT_146040_20180628_20180704_01_T2,LC81460402018179LGN00,2018/06/28,T2,1, 146, 040, 146, 040,NADIR,-.001,2018/07/04,2018:179:05:17:36.8882030,2018:179:05:18:08.6582010,LGN,DAY,70.38,70.38,-1,4,0,0,0,9,LPGS_13.1.0,68.29257265,99.49062918,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180628031851_20180628052559.01,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.98"N,77°56'02.18"E,29°54'56.84"N,77°12'06.66"E,29°32'18.96"N,79°06'30.17"E,28°11'14.50"N,76°46'22.12"E,27°48'34.42"N,78°38'51.54"E,28.86916,77.93394,29.91579,77.20185,29.5386,79.10838,28.18736,76.77281,27.80956,78.64765,LC08_L1GT_146040_20180628_20180704_01_T2,LC81460402018179LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018179LGN00
LC08_L1TP_145039_20180621_20180703_01_T1,LC81450392018172LGN00,2018/06/21,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/07/03,2018:172:05:10:57.9166030,2018:172:05:11:29.6866010,LGN,DAY,19.8,19.8,286,4,8.372,5.414,6.385,9,LPGS_13.1.0,68.60450017,103.24113967,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15421,7851,7711,7851,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180621043732_20180621052231.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.68"N,79°51'14.58"E,31°21'12.31"N,79°06'46.66"E,30°58'25.43"N,81°02'48.16"E,29°37'33.46"N,78°40'32.63"E,29°14'45.31"N,80°34'31.84"E,30.3063,79.85405,31.35342,79.11296,30.97373,81.04671,29.62596,78.67573,29.24592,80.57551,LC08_L1TP_145039_20180621_20180703_01_T1,LC81450392018172LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018172LGN00
LC08_L1TP_145040_20180621_20180703_01_T1,LC81450402018172LGN00,2018/06/21,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/07/03,2018:172:05:11:21.8161130,2018:172:05:11:53.5861120,LGN,DAY,2.37,2.37,163,4,8.621,5.476,6.659,9,LPGS_13.1.0,68.65258184,99.38397163,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15421,7851,7711,7851,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180621043732_20180621052231.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.98"N,79°28'48.86"E,29°54'56.81"N,78°44'53.27"E,29°32'18.92"N,80°39'16.99"E,28°11'14.50"N,78°19'08.69"E,27°48'34.42"N,80°11'38.40"E,28.86916,79.48024,29.91578,78.74813,29.53859,80.65472,28.18736,78.31908,27.80956,80.194,LC08_L1TP_145040_20180621_20180703_01_T1,LC81450402018172LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018172LGN00
LC08_L1TP_147039_20180619_20180703_01_T1,LC81470392018170LGN00,2018/06/19,T1,1, 147, 039, 147, 039,NADIR,-.001,2018/07/03,2018:170:05:23:18.2684020,2018:170:05:23:50.0384000,LGN,DAY,.79,.79,199,4,8.417,5.9,6.003,9,LPGS_13.1.0,68.68491432,103.38725409,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15461,15161,7731,7581,7731,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180619044953_20180619053004.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.00"N,76°45'51.19"E,31°21'11.77"N,76°01'21.97"E,30°58'24.46"N,77°57'25.96"E,29°37'33.13"N,75°35'08.23"E,29°14'44.56"N,77°29'09.89"E,30.30611,76.76422,31.35327,76.02277,30.97346,77.95721,29.62587,75.58562,29.24571,77.48608,LC08_L1TP_147039_20180619_20180703_01_T1,LC81470392018170LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018170LGN00
LC08_L1TP_147040_20180619_20180703_01_T1,LC81470402018170LGN00,2018/06/19,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/07/03,2018:170:05:23:42.1636770,2018:170:05:24:13.9336750,LGN,DAY,1.05,1.05,252,4,8.637,6.335,5.871,9,LPGS_13.1.0,68.73655763,99.51530436,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180619044953_20180619053004.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.19"N,76°23'25.91"E,29°54'57.28"N,75°39'28.01"E,29°32'18.56"N,77°33'56.16"E,28°11'15.25"N,75°13'43.72"E,27°48'34.34"N,77°06'17.75"E,28.86922,76.39053,29.91591,75.65778,29.53849,77.5656,28.18757,75.22881,27.80954,77.10493,LC08_L1TP_147040_20180619_20180703_01_T1,LC81470402018170LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018170LGN00
LC08_L1TP_146039_20180612_20180615_01_T1,LC81460392018163LGN00,2018/06/12,T1,1, 146, 039, 146, 039,NADIR,-.001,2018/06/15,2018:163:05:17:02.5865110,2018:163:05:17:34.3565090,LGN,DAY,6.97,6.97,279,4,9.221,5.683,7.261,9,LPGS_13.1.0,68.87388024,104.455541,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15821,15561,7911,7781,7911,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180612044337_20180612052548.02,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'23.22"N,78°18'47.27"E,31°21'12.92"N,77°34'19.52"E,30°58'25.93"N,79°30'20.95"E,29°37'34.07"N,77°08'05.35"E,29°14'45.78"N,79°02'04.45"E,30.30645,78.31313,31.35359,77.57209,30.97387,79.50582,29.62613,77.13482,29.24605,79.03457,LC08_L1TP_146039_20180612_20180615_01_T1,LC81460392018163LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018163LGN00
LC08_L1TP_146040_20180612_20180615_01_T1,LC81460402018163LGN00,2018/06/12,T1,1, 146, 040, 146, 040,NADIR,-.001,2018/06/15,2018:163:05:17:26.4902570,2018:163:05:17:58.2602560,LGN,DAY,.06,.06,126,4,10.736,6.97,8.166,9,LPGS_13.1.0,68.95213777,100.54586338,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180612044337_20180612052548.02,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.69"N,77°56'21.12"E,29°54'56.45"N,77°12'26.14"E,29°32'18.49"N,79°06'49.28"E,28°11'14.10"N,76°46'41.30"E,27°48'33.95"N,78°39'10.44"E,28.86908,77.9392,29.91568,77.20726,29.53847,79.11369,28.18725,76.77814,27.80943,78.6529,LC08_L1TP_146040_20180612_20180615_01_T1,LC81460402018163LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018163LGN00
LC08_L1TP_145039_20180605_20180615_01_T1,LC81450392018156LGN00,2018/06/05,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/06/15,2018:156:05:10:46.9264120,2018:156:05:11:18.6964100,LGN,DAY,39.59,39.59,156,4,8.838,6.171,6.327,9,LPGS_13.1.0,68.88002532,106.33025762,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180605045652_20180605052220.02,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.21"N,79°51'38.84"E,31°21'12.06"N,79°07'11.82"E,30°58'25.50"N,81°03'11.59"E,29°37'32.63"N,78°40'57.79"E,29°14'44.77"N,80°34'55.31"E,30.30617,79.86079,31.35335,79.11995,30.97375,81.05322,29.62573,78.68272,29.24577,80.58203,LC08_L1TP_145039_20180605_20180615_01_T1,LC81450392018156LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018156LGN00
LC08_L1TP_145040_20180605_20180615_01_T1,LC81450402018156LGN00,2018/06/05,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/06/15,2018:156:05:11:10.8174500,2018:156:05:11:42.5874490,LGN,DAY,31.31,31.31,49,4,9.107,6.471,6.409,9,LPGS_13.1.0,69.00593336,102.4252041,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180605045652_20180605052220.02,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.06"N,79°29'13.60"E,29°54'58.03"N,78°45'19.01"E,29°32'20.44"N,80°39'41.08"E,28°11'15.29"N,78°19'34.25"E,27°48'35.53"N,80°12'02.30"E,28.86946,79.48711,29.91612,78.75528,29.53901,80.66141,28.18758,78.32618,27.80987,80.20064,LC08_L1TP_145040_20180605_20180615_01_T1,LC81450402018156LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018156LGN00
LC08_L1TP_147039_20180603_20180615_01_T1,LC81470392018154LGN00,2018/06/03,T1,1, 147, 039, 147, 039,NADIR,-.001,2018/06/15,2018:154:05:23:09.0195260,2018:154:05:23:40.7895240,LGN,DAY,4.75,4.75,155,4,8.861,5.673,6.807,9,LPGS_13.1.0,68.84211579,106.99749715,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15461,15161,7731,7581,7731,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180603050850_20180603052955.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.36"N,76°45'49.46"E,31°21'12.28"N,76°01'21.36"E,30°58'25.28"N,77°57'23.51"E,29°37'33.13"N,75°35'07.48"E,29°14'44.84"N,77°29'07.33"E,30.30621,76.76374,31.35341,76.0226,30.97369,77.95653,29.62587,75.58541,29.24579,77.48537,LC08_L1TP_147039_20180603_20180615_01_T1,LC81470392018154LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018154LGN00
LC08_L1TP_147040_20180603_20180615_01_T1,LC81470402018154LGN00,2018/06/03,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/06/15,2018:154:05:23:32.9105650,2018:154:05:24:04.6805630,LGN,DAY,.13,.13,258,4,8.343,6.217,5.563,9,LPGS_13.1.0,68.9850823,103.10241117,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180603050850_20180603052955.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'10.27"N,76°23'24.36"E,29°54'58.50"N,75°39'27.54"E,29°32'20.08"N,77°33'53.86"E,28°11'16.04"N,75°13'42.89"E,27°48'35.46"N,77°06'15.12"E,28.86952,76.3901,29.91625,75.65765,29.53891,77.56496,28.18779,75.22858,27.80985,77.1042,LC08_L1TP_147040_20180603_20180615_01_T1,LC81470402018154LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018154LGN00
LC08_L1TP_146039_20180527_20180605_01_T1,LC81460392018147LGN00,2018/05/27,T1,1, 146, 039, 146, 039,NADIR,-.001,2018/06/05,2018:147:05:17:02.6913930,2018:147:05:17:34.4613920,LGN,DAY,41.72,41.72,179,4,9.24,6.005,7.023,9,LPGS_13.1.0,68.54686863,109.74197176,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15841,15561,7921,7781,7921,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180527044313_20180527052548.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'23.15"N,78°16'11.21"E,31°21'10.69"N,77°31'40.48"E,30°58'29.93"N,79°27'41.15"E,29°37'30.22"N,77°05'33.04"E,29°14'48.05"N,78°59'31.34"E,30.30643,78.26978,31.35297,77.52791,30.97498,79.46143,29.62506,77.09251,29.24668,78.99204,LC08_L1TP_146039_20180527_20180605_01_T1,LC81460392018147LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018147LGN00
LC08_L1TP_146040_20180527_20180605_01_T1,LC81460402018147LGN00,2018/05/27,T1,1, 146, 040, 146, 040,NADIR,-.001,2018/06/05,2018:147:05:17:26.5866680,2018:147:05:17:58.3566660,LGN,DAY,12.91,12.91,106,4,9.13,5.721,7.116,9,LPGS_13.1.0,68.76135165,105.91963554,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180527044313_20180527052548.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.37"N,77°53'51.14"E,29°54'54.79"N,77°09'53.24"E,29°32'22.99"N,79°04'15.64"E,28°11'10.79"N,76°44'15.18"E,27°48'36.72"N,78°36'43.52"E,28.86927,77.89754,29.91522,77.16479,29.53972,79.07101,28.18633,76.73755,27.8102,78.61209,LC08_L1TP_146040_20180527_20180605_01_T1,LC81460402018147LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018147LGN00
LC08_L1TP_145039_20180520_20180605_01_T1,LC81450392018140LGN00,2018/05/20,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/06/05,2018:140:05:10:57.6302120,2018:140:05:11:29.4002100,LGN,DAY,8.6,8.6,411,4,8.056,5.046,6.279,9,LPGS_13.1.0,68.01001144,113.02843367,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15401,7851,7701,7851,7701,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180520043421_20180520052231.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.61"N,79°48'45.25"E,31°21'09.79"N,79°04'14.56"E,30°58'29.21"N,81°00'15.05"E,29°37'29.35"N,78°38'07.33"E,29°14'47.36"N,80°32'05.46"E,30.30628,79.81257,31.35272,79.07071,30.97478,81.00418,29.62482,78.63537,29.24649,80.53485,LC08_L1TP_145039_20180520_20180605_01_T1,LC81450392018140LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018140LGN00
LC08_L1TP_145040_20180520_20180605_01_T1,LC81450402018140LGN00,2018/05/20,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/06/05,2018:140:05:11:21.5212500,2018:140:05:11:53.2912490,LGN,DAY,.2,.2,198,4,7.977,5.12,6.117,9,LPGS_13.1.0,68.30844395,109.33600122,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15421,7861,7711,7861,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180520043421_20180520052231.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.41"N,79°26'25.69"E,29°54'55.08"N,78°42'27.40"E,29°32'23.35"N,80°36'50.11"E,28°11'11.00"N,78°16'49.44"E,27°48'37.01"N,80°09'18.07"E,28.86928,79.44047,29.9153,78.70761,29.53982,80.61392,28.18639,78.2804,27.81028,80.15502,LC08_L1TP_145040_20180520_20180605_01_T1,LC81450402018140LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018140LGN00
LC08_L1TP_147039_20180518_20180604_01_T1,LC81470392018138LGN00,2018/05/18,T1,1, 147, 039, 147, 039,NADIR,-.001,2018/06/04,2018:138:05:23:20.8206830,2018:138:05:23:52.5906820,LGN,DAY,50.22,50.22,90,4,8.614,6.256,5.921,9,LPGS_13.1.0,67.80282483,114.02487355,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15461,15161,7731,7581,7731,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180518050902_20180518053007.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.68"N,76°43'19.78"E,31°21'10.04"N,75°58'47.86"E,30°58'28.88"N,77°54'50.87"E,29°37'29.71"N,75°32'40.70"E,29°14'47.22"N,77°26'41.35"E,30.3063,76.72216,31.35279,75.97996,30.97469,77.91413,29.62492,75.54464,29.24645,77.44482,LC08_L1TP_147039_20180518_20180604_01_T1,LC81470392018138LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018138LGN00
LC08_L1TP_147040_20180518_20180604_01_T1,LC81470402018138LGN00,2018/05/18,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/06/04,2018:138:05:23:44.7117220,2018:138:05:24:16.4817200,LGN,DAY,22.57,22.57,171,4,8.65,6.634,5.551,9,LPGS_13.1.0,68.12660023,110.38080457,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180518050902_20180518053007.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,28°52'09.52"N,76°21'00.18"E,29°54'55.40"N,75°36'59.69"E,29°32'22.78"N,77°31'26.83"E,28°11'11.87"N,75°11'21.84"E,27°48'36.97"N,77°03'54.79"E,28.86931,76.35005,29.91539,75.61658,29.53966,77.52412,28.18663,75.1894,27.81027,77.06522,LC08_L1TP_147040_20180518_20180604_01_T1,LC81470402018138LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018138LGN00
LC08_L1TP_146039_20180511_20180517_01_T1,LC81460392018131LGN00,2018/05/11,T1,1, 146, 039, 146, 039,NADIR,-.001,2018/05/17,2018:131:05:17:15.0735190,2018:131:05:17:46.8435180,LGN,DAY,1.16,1.16,360,4,7.815,4.458,6.419,9,LPGS_13.1.0,66.87274144,117.63614877,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15841,15561,7921,7781,7921,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180511050320_20180511052601.02,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'21.64"N,78°16'07.46"E,31°21'09.07"N,77°31'36.66"E,30°58'28.16"N,79°27'37.44"E,29°37'28.67"N,77°05'29.18"E,29°14'46.39"N,78°59'27.60"E,30.30601,78.26874,31.35252,77.52685,30.97449,79.4604,29.62463,77.09144,29.24622,78.991,LC08_L1TP_146039_20180511_20180517_01_T1,LC81460392018131LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018131LGN00
LC08_L1TP_146040_20180511_20180517_01_T1,LC81460402018131LGN00,2018/05/11,T1,1, 146, 040, 146, 040,NADIR,-.001,2018/05/17,2018:131:05:17:38.9645580,2018:131:05:18:10.7345570,LGN,DAY,0,0,140,4,8.722,5.952,6.375,9,LPGS_13.1.0,67.28779624,114.19883117,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15361,15061,7681,7531,7681,7531,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180511050320_20180511052601.02,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.62"N,77°53'47.58"E,29°54'54.29"N,77°09'49.57"E,29°32'22.38"N,79°04'12.07"E,28°11'10.36"N,76°44'11.36"E,27°48'36.18"N,78°36'39.78"E,28.86906,77.89655,29.91508,77.16377,29.53955,79.07002,28.18621,76.73649,27.81005,78.61105,LC08_L1TP_146040_20180511_20180517_01_T1,LC81460402018131LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460402018131LGN00
LC08_L1TP_145039_20180504_20180516_01_T1,LC81450392018124LGN00,2018/05/04,T1,1, 145, 039, 145, 039,NADIR,-.001,2018/05/16,2018:124:05:11:08.7543030,2018:124:05:11:40.5243010,LGN,DAY,19.07,19.07,310,4,8.149,5.329,6.166,9,LPGS_13.1.0,65.62154942,121.25176349,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15401,7851,7701,7851,7701,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180504045714_20180504052242.02,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.75"N,79°48'57.89"E,31°21'10.12"N,79°04'27.23"E,30°58'29.28"N,81°00'27.97"E,29°37'29.60"N,78°38'19.90"E,29°14'47.36"N,80°32'18.28"E,30.30632,79.81608,31.35281,79.07423,30.9748,81.00777,29.62489,78.63886,29.24649,80.53841,LC08_L1TP_145039_20180504_20180516_01_T1,LC81450392018124LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450392018124LGN00
LC08_L1TP_145040_20180504_20180516_01_T1,LC81450402018124LGN00,2018/05/04,T1,1, 145, 040, 145, 040,NADIR,-.001,2018/05/16,2018:124:05:11:32.6495780,2018:124:05:12:04.4195760,LGN,DAY,15.83,15.83,138,4,8.267,5.284,6.358,9,LPGS_13.1.0,66.12700227,118.06567829,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15421,7851,7711,7851,7711,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180504045714_20180504052242.02,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.65"N,79°26'38.00"E,29°54'54.43"N,78°42'39.64"E,29°32'22.49"N,80°37'02.57"E,28°11'10.46"N,78°17'01.57"E,27°48'36.25"N,80°09'30.38"E,28.86907,79.44389,29.91512,78.71101,29.53958,80.61738,28.18624,78.28377,27.81007,80.15844,LC08_L1TP_145040_20180504_20180516_01_T1,LC81450402018124LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81450402018124LGN00
LC08_L1TP_147039_20180502_20180516_01_T1,LC81470392018122LGN00,2018/05/02,T1,1, 147, 039, 147, 039,NADIR,-.001,2018/05/16,2018:122:05:23:31.5759180,2018:122:05:24:03.3459160,LGN,DAY,73.47,73.47,88,4,8.707,6.302,6.008,9,LPGS_13.1.0,65.20899378,122.25629415,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15441,15161,7721,7581,7721,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180502050913_20180502053017.01,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.03"N,76°43'37.96"E,31°21'09.68"N,75°59'05.93"E,30°58'28.31"N,77°55'09.19"E,29°37'29.46"N,75°32'58.63"E,29°14'46.72"N,77°26'59.50"E,30.30612,76.72721,31.35269,75.98498,30.97453,77.91922,29.62485,75.54962,29.24631,77.44986,LC08_L1TP_147039_20180502_20180516_01_T1,LC81470392018122LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470392018122LGN00
LC08_L1TP_147040_20180502_20180516_01_T1,LC81470402018122LGN00,2018/05/02,T1,1, 147, 040, 147, 040,NADIR,-.001,2018/05/16,2018:122:05:23:55.4669560,2018:122:05:24:27.2369550,LGN,DAY,63.21,63.21,115,4,8.423,6.164,5.741,9,LPGS_13.1.0,65.73911516,119.14774876,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15161,7741,7581,7741,7581,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20180502050913_20180502053017.01,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,28°52'08.98"N,76°21'18.25"E,29°54'55.04"N,75°37'17.54"E,29°32'22.20"N,77°31'44.94"E,28°11'11.54"N,75°11'39.59"E,27°48'36.43"N,77°04'12.76"E,28.86916,76.35507,29.91529,75.62154,29.5395,77.52915,28.18654,75.19433,27.81012,77.07021,LC08_L1TP_147040_20180502_20180516_01_T1,LC81470402018122LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81470402018122LGN00
LC08_L1TP_146039_20180425_20180502_01_T1,LC81460392018115LGN00,2018/04/25,T1,1, 146, 039, 146, 039,NADIR,-.001,2018/05/02,2018:115:05:17:24.5790150,2018:115:05:17:56.3490140,LGN,DAY,1.75,1.75,380,4,7.694,4.626,6.148,9,LPGS_13.0.0,63.56815096,125.65085558,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15841,15561,7921,7781,7921,7781,UTM,44,WGS84,WGS84,15,30,30,LO8BPF20180425050330_20180425052610.01,LT8BPF20180414000401_20180430074753.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,30°18'22.46"N,78°16'40.80"E,31°21'09.97"N,77°32'09.89"E,30°58'28.85"N,79°28'11.03"E,29°37'29.64"N,77°06'02.20"E,29°14'47.15"N,79°00'00.97"E,30.30624,78.278,31.35277,77.53608,30.97468,79.46973,29.6249,77.10061,29.24643,79.00027,LC08_L1TP_146039_20180425_20180502_01_T1,LC81460392018115LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81460392018115LGN00
